iter	Passed	Remaining
446	1125	1392
447	1128	1390
448	1130	1386
449	1132	1384
450	1134	1381
451	1136	1378
452	1138	1374
453	1140	1371
454	1142	1368
455	1144	1365
456	1146	1362
457	1148	1359
458	1150	1356
459	1152	1353
460	1154	1350
461	1157	1347
462	1159	1344
463	1161	1341
464	1162	1337
465	1164	1334
466	1166	1331
467	1169	1329
468	1171	1326
469	1173	1323
470	1175	1319
471	1177	1316
472	1179	1313
473	1181	1311
474	1183	1308
475	1185	1305
476	1187	1301
477	1189	1299
478	1193	1298
479	1195	1295
480	1197	1292
481	1199	1289
482	1201	1286
483	1203	1283
484	1206	1280
485	1208	1277
486	1210	1274
487	1212	1271
488	1214	1268
489	1216	1265
490	1218	1262
491	1220	1259
492	1222	1257
493	1224	1254
494	1226	1251
495	1228	1247
496	1230	1245
497	1232	1242
498	1236	1241
499	1238	1238
500	1240	1235
501	1242	1232
502	1244	1229
503	1248	1229
504	1250	1226
505	1253	1223
506	1255	1220
507	1257	1217
508	1259	1215
509	1261	1212
510	1263	1209
511	1265	1206
512	1267	1203
513	1270	1200
514	1271	1197
515	1273	1194
516	1275	1192
517	1278	1189
518	1280	1186
519	1283	1184
520	1285	1182
521	1288	1179
522	1290	1177
523	1292	1173
524	1294	1171
525	1296	1167
526	1298	1165
527	1300	1162
528	1302	1159
529	1303	1156
530	1305	1153
531	1307	1150
532	1309	1147
533	1311	1144
534	1313	1141
535	1315	1138
536	1317	1135
537	1319	1132
538	1321	1129
539	1323	1127
540	1325	1124
541	1327	1121
542	1329	1118
543	1330	1115
544	1332	1112
545	1334	1109
546	1336	1106
547	1338	1103
548	1339	1100
549	1341	1097
550	1343	1094
551	1345	1091
552	1347	1089
553	1349	1086
554	1351	1083
555	1353	1080
556	1355	1077
557	1357	1075
558	1358	1071
559	1361	1069
560	1362	1066
561	1365	1064
562	1366	1061
563	1368	1058
564	1370	1055
565	1372	1052
566	1374	1049
567	1375	1046
568	1377	1043
569	1379	1040
570	1381	1037
571	1382	1034
572	1385	1032
573	1386	1029
574	1388	1026
575	1390	1023
576	1393	1021
577	1394	1018
578	1396	1015
579	1398	1012
580	1400	1010
581	1403	1007
582	1405	1005
583	1407	1002
584	1410	1000
585	1412	997
586	1414	995
587	1416	992
588	1418	989
589	1419	986
590	1421	983
591	1423	981
592	1426	979
593	1428	976
594	1430	973
595	1433	971
596	1435	968
597	1437	966
598	1439	963
599	1441	960
600	1443	958
601	1445	955
602	1447	952
603	1448	950
604	1450	947
605	1452	944
606	1455	942
607	1457	939
608	1459	936
609	1461	934
610	1462	931
611	1464	928
612	1466	925
613	1469	923
614	1471	921
615	1473	918
616	1476	916
617	1478	913
618	1480	911
619	1483	909
620	1485	906
621	1486	903
622	1488	900
623	1490	898
624	1493	895
625	1495	893
626	1497	890
627	1499	888
628	1501	885
629	1503	883
630	1505	880
631	1508	878
632	1510	875
633	1512	872
634	1514	870
635	1515	867
636	1517	864
637	1519	862
638	1521	859
639	1523	856
640	1525	854
641	1527	851
642	1529	848
643	1530	846
644	1532	843
645	1534	841
646	1536	838
647	1538	835
648	1540	833
649	1542	830
650	1544	827
651	1545	825
652	1547	822
653	1549	819
654	1551	817
655	1553	814
656	1555	812
657	1557	809
658	1559	806
659	1560	804
660	1562	801
661	1564	798
662	1566	796
663	1568	793
664	1570	791
665	1572	788
666	1574	786
667	1577	783
668	1580	782
669	1582	779
670	1585	777
671	1589	775
672	1591	773
673	1593	770
674	1595	768
675	1598	765
676	1599	763
677	1601	760
678	1603	758
679	1605	755
680	1607	753
681	1609	750
682	1611	747
683	1613	745
684	1615	742
685	1617	740
686	1619	737
687	1621	735
688	1623	732
689	1625	730
690	1628	728
691	1629	725
692	1631	722
693	1633	720
694	1635	717
695	1637	715
696	1638	712
697	1640	709
698	1642	707
699	1644	704
700	1646	702
701	1648	699
702	1650	697
703	1652	694
704	1654	692
705	1655	689
706	1657	687
707	1659	684
708	1662	682
709	1664	679
710	1666	677
711	1668	674
712	1670	672
713	1672	669
714	1674	667
715	1676	664
716	1678	662
717	1679	659
718	1681	657
719	1683	654
720	1685	652
721	1687	649
722	1689	647
723	1691	644
724	1693	642
725	1695	639
726	1696	637
727	1698	634
728	1700	632
729	1702	629
730	1704	627
731	1706	624
732	1708	622
733	1711	620
734	1713	617
735	1716	615
736	1718	613
737	1720	610
738	1722	608
739	1724	605
740	1725	603
741	1728	601
742	1731	598
743	1733	596
744	1735	594
745	1737	591
746	1739	589
747	1741	586
748	1743	584
749	1745	581
750	1747	579
751	1749	576
752	1751	574
753	1753	572
754	1755	569
755	1757	567
756	1759	564
757	1761	562
758	1763	559
759	1767	558
760	1770	556
761	1773	553
762	1775	551
763	1777	549
764	1779	546
765	1781	544
766	1783	541
767	1785	539
768	1787	536
769	1789	534
770	1791	532
771	1794	529
772	1796	527
773	1798	525
774	1800	522
775	1802	520
776	1804	517
777	1806	515
778	1808	512
779	1810	510
780	1812	508
781	1814	505
782	1816	503
783	1818	501
784	1820	498
785	1822	496
786	1824	493
787	1826	491
788	1827	488
789	1830	486
790	1832	484
791	1833	481
792	1835	479
793	1837	476
794	1839	474
795	1841	471
796	1843	469
797	1844	466
798	1846	464
799	1848	462
800	1850	459
801	1852	457
802	1853	454
803	1855	452
804	1857	449
805	1859	447
806	1861	445
807	1863	442
808	1864	440
809	1866	437
810	1868	435
811	1870	432
812	1872	430
813	1873	428
814	1875	425
815	1877	423
816	1880	421
817	1881	418
818	1883	416
819	1885	413
820	1887	411
821	1889	409
822	1891	406
823	1893	404
824	1895	401
825	1896	399
826	1898	397
827	1900	394
828	1902	392
829	1904	390
830	1905	387
831	1907	385
832	1909	382
833	1911	380
834	1912	377
835	1914	375
836	1916	373
837	1918	370
838	1919	368
839	1921	366
840	1923	363
841	1924	361
842	1926	358
843	1928	356
844	1930	354
845	1932	351
846	1934	349
847	1936	347
848	1938	344
849	1940	342
850	1942	340
851	1943	337
852	1947	335
853	1949	333
854	1951	330
855	1953	328
856	1954	326
857	1956	323
858	1958	321
859	1960	319
860	1962	316
861	1963	314
862	1965	312
863	1967	309
864	1969	307
865	1971	305
866	1973	302
867	1975	300
868	1977	298
869	1978	295
870	1980	293
871	1982	290
872	1984	288
873	1986	286
874	1987	283
875	1989	281
876	1991	279
877	1993	276
878	1995	274
879	1996	272
880	1998	269
881	2000	267
882	2002	265
883	2004	263
884	2006	260
885	2008	258
886	2010	256
887	2011	253
888	2013	251
889	2015	249
890	2017	246
891	2018	244
892	2020	242
893	2022	239
894	2023	237
895	2025	235
896	2027	232
897	2029	230
898	2031	228
899	2032	225
900	2034	223
901	2036	221
902	2038	218
903	2040	216
904	2041	214
905	2044	212
906	2046	209
907	2048	207
908	2050	205
909	2051	202
910	2053	200
911	2055	198
912	2057	196
913	2059	193
914	2061	191
915	2063	189
916	2065	186
917	2067	184
918	2068	182
919	2070	180
920	2072	177
921	2074	175
922	2076	173
923	2077	170
924	2079	168
925	2081	166
926	2083	164
927	2084	161
928	2086	159
929	2088	157
930	2090	154
931	2091	152
932	2093	150
933	2095	148
934	2096	145
935	2098	143
936	2100	141
937	2102	138
938	2103	136
939	2105	134
940	2107	132
941	2109	129
942	2110	127
943	2112	125
944	2114	123
945	2115	120
946	2117	118
947	2119	116
948	2121	113
949	2122	111
950	2126	109
951	2128	107
952	2130	105
953	2132	102
954	2133	100
955	2135	98
956	2137	96
957	2139	93
958	2141	91
959	2143	89
960	2145	87
961	2146	84
962	2148	82
963	2150	80
964	2152	78
965	2154	75
966	2156	73
967	2158	71
968	2159	69
969	2161	66
970	2163	64
971	2165	62
972	2167	60
973	2169	57
974	2171	55
975	2173	53
976	2174	51
977	2176	48
978	2178	46
979	2180	44
980	2182	42
981	2183	40
982	2185	37
983	2187	35
984	2189	33
985	2190	31
986	2192	28
987	2194	26
988	2195	24
989	2197	22
990	2199	19
991	2201	17
992	2202	15
993	2204	13
994	2206	11
995	2207	8
996	2209	6
997	2211	4
998	2213	2
999	2215	0
